"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed.",module,Magento_Authorizenet
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order.",module,Magento_Authorizenet
"There was a payment authorization error.","There was a payment authorization error.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","Please enter a transaction ID to authorize this payment.",module,Magento_Authorizenet
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.",module,Magento_Authorizenet
"Authorize Only","Authorize Only",module,Magento_Authorizenet
"Authorize and Capture","Authorize and Capture",module,Magento_Authorizenet
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later.",module,Magento_Authorizenet
"Credit Card Type","Credit Card Type",module,Magento_Authorizenet
"Credit Card Number","Credit Card Number",module,Magento_Authorizenet
"Expiration Date","Expiration Date",module,Magento_Authorizenet
"Card Verification Number","Card Verification Number",module,Magento_Authorizenet
"Fraud Detection ","Fraud Detection ",module,Magento_Authorizenet
"FDS Filter Action","FDS Filter Action",module,Magento_Authorizenet
"AVS Response","AVS Response",module,Magento_Authorizenet
"Card Code Response","Card Code Response",module,Magento_Authorizenet
"CAVV Response","CAVV Response",module,Magento_Authorizenet
"Fraud Filters","Fraud Filters",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","Невалиден ключ за формуляр. Моля освежете страницата.",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","Въведохте невалиден Секретен ключ. Моля освежете страницата.",module,Magento_Backend
"Cache Storage Management","Управление на кеша",module,Magento_Backend
"Flush Magento Cache","Изчистване на кеша на Magento",module,Magento_Backend
"The cache storage may contain additional data. Are you sure that you want to flush it?","Кешът може да съдържа допълнителни данни. Наистина ли искате да го изчистите?",module,Magento_Backend
"Flush Cache Storage","Изчистване на Кеша",module,Magento_Backend
Invalidated,Невалиден,module,Magento_Backend
Orders,Поръчки,module,Magento_Backend
Amounts,Количества,module,Magento_Backend
Bestsellers,Най-продавани,module,Magento_Backend
"Most Viewed Products","Най-преглеждани продукти",module,Magento_Backend
"New Customers","Нови клиенти",module,Magento_Backend
Customers,Клиенти,module,Magento_Backend
Customer,Клиент,module,Magento_Backend
Guest,Гост,module,Magento_Backend
Items,Единици,module,Magento_Backend
Total,Тотал,module,Magento_Backend
"Lifetime Sales","Всички продажби",module,Magento_Backend
"Average Order","Средна поръчка",module,Magento_Backend
Average,Средно,module,Magento_Backend
Product,Продукт,module,Magento_Backend
Price,Цена,module,Magento_Backend
Quantity,Количество,module,Magento_Backend
Views,Изгледи,module,Magento_Backend
Revenue,Приход,module,Magento_Backend
Tax,Данък,module,Magento_Backend
Shipping,Доставка,module,Magento_Backend
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Медия (.avi, .flv, .swf)",module,Magento_Backend
"All Files","Всички файлове",module,Magento_Backend
"Reset to Default","Подразбиращи",module,Magento_Backend
"All Store Views","Всички складови Изгледи",module,Magento_Backend
"What is this?","Какво е това?",module,Magento_Backend
"Save Account","Записване регистрация",module,Magento_Backend
"My Account","Регистрацията ми",module,Magento_Backend
"Account Information","Информация за регистрация",module,Magento_Backend
"User Name","Потребител",module,Magento_Backend
"First Name","Име",module,Magento_Backend
"Last Name","Фамилия",module,Magento_Backend
Email,Email,module,Magento_Backend
"User Email","Потребителски Email",module,Magento_Backend
"New Password","Нова парола",module,Magento_Backend
"Password Confirmation","Потвирди паролата",module,Magento_Backend
"Interface Locale","Интерфейс Език",module,Magento_Backend
"Current User Identity Verification","Проверка идентичноста на потребител",module,Magento_Backend
"Your Password","Вашата парола",module,Magento_Backend
"Save Cache Settings","Запомяне на кеш параметрите",module,Magento_Backend
"Catalog Rewrites","Catalog Rewrites",module,Magento_Backend
Refresh,Освежаване,module,Magento_Backend
"Images Cache","Кеш на изображения",module,Magento_Backend
Clear,Изчистване,module,Magento_Backend
"Search Index","Индекс за търсене",module,Magento_Backend
Rebuild,Наново,module,Magento_Backend
"Inventory Stock Status","Състояние на Инвентара",module,Magento_Backend
"Rebuild Catalog Index","Преизграждане на Каталожния индекс",module,Magento_Backend
"Rebuild Flat Catalog Category","Преизграждане на категория от Плоския каталог",module,Magento_Backend
"Rebuild Flat Catalog Product","Преизграждане продукт от плоския каталог",module,Magento_Backend
"Cache Control","Кеш контрол",module,Magento_Backend
"All Cache","Целия кеш",module,Magento_Backend
"No change","Без промяна",module,Magento_Backend
Disable,Деактивиране,module,Magento_Backend
Enable,Активиране,module,Magento_Backend
"Add Design Change","Добави Дизайн Промяна",module,Magento_Backend
Back,Назад,module,Magento_Backend
Delete,Изтриване,module,Magento_Backend
"Are you sure?","Сигурни ли сте?",module,Magento_Backend
Save,Запомняне,module,Magento_Backend
"Edit Design Change","РЕдактиране на Дизайн Промяна",module,Magento_Backend
"New Store Design Change","Дизайн Промяна на нов склад",module,Magento_Backend
"General Settings","Общи настройки",module,Magento_Backend
Store,Склад,module,Magento_Backend
"-- Please Select --","-- Моля изберете --",module,Magento_Backend
"Custom Design","Персонализиран Дизайн",module,Magento_Backend
"Date From","От дата",module,Magento_Backend
"Date To","До дата",module,Magento_Backend
"Design Change","Промяна Дизайн",module,Magento_Backend
